Total Operating Hours,Total Employees,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,Cluster_DBSCAN,Cluster_GMM,Cluster_Spectral,Cluster_KMeans
0.0,292.0,378.0,3364518.0,374213.0,142.0,240.71,609283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609283.0,0.0,0,0,2,0
0.0,288.0,288.0,3411682.0,225928.0,776.0,50.13,423421.0,93145.0,97322.0,0.0,0.0,0.0,0.0,70814.0,613888.0,70814.0,0,0,4,0
0.0,256.0,432.0,4103488.0,783134.0,283.0,421.73,431359.0,4389.0,0.0,427223.0,0.0,0.0,1594300.0,56533.0,862971.0,1650833.0,0,0,2,0
0.0,288.0,206.0,2878581.0,159200.0,28.0,1294.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
0.0,249.0,188.0,2821414.0,541852.0,186.0,509.27,2455.0,20023.0,0.0,748036.0,0.0,0.0,0.0,0.0,770514.0,0.0,0,0,2,0
0.0,307.5,60.0,1142075.0,352701.0,266.0,91.69,863824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863824.0,0.0,0,0,4,0
0.0,237.9,489.0,6038695.0,949401.0,1848.0,181.53,0.0,386527.0,0.0,0.0,616752.0,0.0,0.0,0.0,1003279.0,0.0,0,0,3,0
0.0,136.0,2464.0,8439961.0,1232111.0,5060.0,113.08,83863.0,888378.0,0.0,286795.0,0.0,0.0,0.0,0.0,1259036.0,0.0,-1,3,6,4
0.0,302.82,248.0,2875219.0,296329.0,331.0,205.85,43652.0,100977.0,0.0,0.0,426880.0,0.0,0.0,96600.0,571509.0,96600.0,0,0,3,0
0.0,277.0,284.0,2597947.0,724777.0,77.0,145.93,191263.0,135011.0,0.0,0.0,0.0,0.0,0.0,0.0,326274.0,0.0,0,0,4,0
0.0,281.0,1135.0,6695972.0,258829.0,130.0,143.45,816866.0,128293.0,0.0,0.0,0.0,0.0,0.0,0.0,945159.0,0.0,0,0,4,0
0.0,212.09,468.0,5428959.0,350372.0,846.0,129.27,96937.0,238576.0,0.0,687067.0,0.0,0.0,0.0,0.0,1022580.0,0.0,0,0,6,0
0.0,207.0,615.0,2976290.0,196169.0,103.0,125.46,357163.0,91914.0,0.0,154731.0,0.0,0.0,0.0,698851.0,603808.0,698851.0,0,0,5,0
0.0,231.5,805.0,2403764.0,782460.0,1426.0,92.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,0
0.0,201.0,261.0,1815526.0,315074.0,151.0,1636.83,0.0,241019.0,0.0,394113.0,0.0,0.0,0.0,129.0,635132.0,129.0,0,0,6,0
0.0,207.94,264.0,2115186.0,80218.0,62.0,183.36,411089.0,61300.0,0.0,0.0,0.0,0.0,0.0,19057.0,472389.0,19057.0,0,0,4,0
0.0,223.22,596.0,3804477.0,230118.0,68.0,72.68,206648.0,119329.0,0.0,348127.0,44385.0,0.0,0.0,0.0,718489.0,0.0,0,0,4,0
0.0,229.0,132.0,3732757.0,375586.0,581.0,180.19,191100.0,0.0,0.0,381985.0,0.0,0.0,0.0,0.0,573085.0,0.0,0,0,2,0
0.0,228.0,264.0,4461598.0,437325.0,159.0,41.18,477661.0,261963.0,0.0,0.0,0.0,0.0,0.0,116074.0,739624.0,116074.0,0,0,6,0
0.0,226.0,142.0,2959453.0,374827.0,84.0,76.61,0.0,19019.0,0.0,764499.0,0.0,0.0,0.0,860.0,783518.0,860.0,0,0,2,0
0.0,218.0,354.0,4020363.0,627597.0,274.0,175.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
0.0,194.0,234.0,3810773.0,504533.0,251.0,338.32,38990.0,22098.0,0.0,718122.0,0.0,0.0,0.0,17732.0,779210.0,17732.0,0,0,2,0
0.0,256.75,288.0,3884284.0,232603.0,227.0,713.81,164800.0,80427.0,321051.0,0.0,0.0,0.0,0.0,756569.0,566278.0,756569.0,-1,0,5,0
0.0,211.0,504.0,4833875.0,291247.0,77.0,91.69,541551.0,234753.0,0.0,0.0,0.0,0.0,0.0,0.0,776304.0,0.0,0,0,6,0
0.0,204.0,116.0,3325804.0,306981.0,7379.0,0.0,156938.0,272608.0,0.0,0.0,19397.0,30290.0,0.0,0.0,479233.0,0.0,0,3,0,0
0.0,214.1,320.0,3586594.0,1924805.0,1665.0,183.36,525648.0,88589.0,0.0,0.0,0.0,0.0,0.0,51841.0,614237.0,51841.0,0,3,0,0
0.0,244.0,72.0,778371.0,3658455.0,776.0,3248.12,2007927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007927.0,0.0,0,3,1,0
0.0,203.0,285.0,3371670.0,295803.0,284.0,83.99,334672.0,200206.0,0.0,268042.0,0.0,0.0,0.0,80.0,802920.0,80.0,0,0,6,0
0.0,206.0,116.0,3019601.0,253531.0,134.0,310.79,398545.0,163453.0,0.0,0.0,0.0,0.0,0.0,0.0,561998.0,0.0,0,0,6,0
0.0,186.0,80.0,2534276.0,199668.0,52.0,54.81,527900.0,0.0,0.0,0.0,0.0,0.0,0.0,153040.0,527900.0,153040.0,0,0,5,0
0.0,188.5,156.0,2552019.0,189872.0,77.0,73.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0
0.0,205.29,415.0,3356286.0,202333.0,109.0,267.82,60411.0,167109.0,0.0,428043.0,0.0,0.0,251820.0,0.0,655563.0,251820.0,0,0,6,0
0.0,200.08,258.0,2434529.0,181370.0,289.0,291.7,346388.0,118953.0,0.0,0.0,0.0,0.0,96320.0,717100.0,465341.0,813420.0,0,0,5,0
0.0,187.19,396.0,2927526.0,578732.0,866.0,260.29,388637.0,123143.0,0.0,0.0,0.0,0.0,0.0,0.0,511780.0,0.0,0,0,4,0
0.0,188.0,170.0,2345265.0,192574.0,50.0,106.27,349116.0,106745.0,0.0,0.0,0.0,0.0,0.0,35741.0,455861.0,35741.0,0,0,4,0
0.0,170.28,106.0,3049676.0,275213.0,61.0,180.84,0.0,223942.0,0.0,274529.0,0.0,0.0,0.0,222103.0,498471.0,222103.0,0,0,6,0
0.0,184.0,74.0,4028768.0,187257.0,90.0,3248.12,944587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944587.0,0.0,0,0,1,0
0.0,177.6,88.0,1978140.0,254042.0,59.0,64.2,195189.0,54946.0,0.0,328187.0,0.0,0.0,0.0,0.0,578322.0,0.0,0,0,4,0
0.0,169.01,126.0,2360991.0,153594.0,65.0,81.74,0.0,93606.0,0.0,226662.0,218860.0,0.0,0.0,0.0,539128.0,0.0,0,0,3,0
0.0,144.0,138.0,1547557.0,395300.0,8426.0,100.42,123246.0,164310.0,0.0,0.0,0.0,0.0,0.0,0.0,287556.0,0.0,0,3,0,0
0.0,148.99,126.0,2160222.0,238853.0,116.0,92.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0
0.0,149.25,148.0,1575799.0,606911.0,103.0,1636.83,0.0,20706.0,0.0,540783.0,0.0,0.0,0.0,0.0,561489.0,0.0,0,0,1,0
0.0,131.0,460.0,3199843.0,511009.0,137.0,250.25,0.0,173118.0,0.0,0.0,394974.0,0.0,0.0,0.0,568092.0,0.0,0,0,3,0
